Português	Tupi Antigo
Derrama tuas lágrimas, pranteando a vergonha de tua alma	Eîmo'ẽ nde resa'y, nde 'anga i momara'aragûera rapirõmo
Aqueles serão saciados	A'eba'e i moytarõmbyramo sekóûne
Eu sou elegante nas palavras	Xe nhe'ẽ-matueté
Tu voltas o rosto para trás, olhando com a ponta dos olhos, sorrindo, espreguiçando-te	Nde atybak, nde resá-popybo ema'ẽmo, epukamirĩamo, eîepokábo tenhẽ
Piorei muito de meu grande mal	Aîerekoaibeté xe angaîpá-katu suí
Surpreendi os pecadores	Angaîpaba aîpokosu
Bebendo cauim só o suficiente	Oîakatu nhote okagûabo-eté
É certo que o comungante comungue algumas vezes (ou) sempre?	A'eboépe Tupã rasara Tupã rari amõme, îepi?
Minhas próprias coisas	Xe mba'e teé
Conforme ela, curaste os doentes	Supibé eremombûeîrá mara'abora
Entrei para estar fundeado	Aîké gûitupa
Minha lei é muito bela	Xe rekó i porangeté
Destila tuas lágrimas	Nde resa'y eîmondyky
Quem, necessariamente, a gente chama, estando aflita?	Abáp'amẽ asé osenõî oîkotebẽmo?
Estando como seu guardião (ou sendo seu guardião)	Serekoaramo ûitekóbo
Retirei o invólucro dele	Aînhubã-rok
Por isso mesmo é que, em seus corações ficando a refletir, desafiam muito a Deus	Nd'ei te'e, o py'a pupé oîemongetá-ngetábo, Tupã momburukatûabo
Eu caí rodando	Xe aparaîereb
Que eu afaste o proceder antigo para que não esteja no mal	Tekopûera t'aîpe'a t'aîkó umẽne marani
ao longo do dia, todo o dia	ara pukuî
O que foge com uma mulher contra sua vontade não pode casar-se com ela	Kunhã reroîabapara semimotare'yma rupi nd'e'ikatuî sesé omendá
Não (sofreria)	-Nd'oîporaráî xûémop'asé mba'e amõ 'ara pupé oîkóbomo? - Aani xûémo - Não sofreria a gente coisa alguma vivendo no mundo?
Contigo sempre estamos	Nde resé memẽ oroîkó
Untei as penas de pássaro (para me emplumar com elas)	Aîmongy gûyrá-aba
O próprio Deus distinguiu o padre como seu substituto	Tupã é abaré oîmoîa'ok gûekobîaramo
Tornam-nos famosos também, em suas bocas vilipendiando-os	Oîmoerapûan-y bé, o îurupe i momoxŷabo
Eu sou modesto	Xe kunusãî
Hei de me aproximar muito dela para ver bem sua beleza	Aroby-katupe ká i porangepîá-katûabo
Queimar-vos-ão as chamas!	Pe rapy tataendyne!
remador de canoa	ygá-pukuîtara
Na verdade hei de me enfeitar, pretejando-me	Aûîeté pakó, aîegûak ûinhemoúna
Eu sou covarde	Xe abang
Mandando-o ir, sem problemas, não ages como o que estima teu imperador César	I mondóbo nhẽ nd'ereîkóî César nde rubixaba raûsuparamo
Podem também as pessoas casar-se diante de um outro padre, de acordo com a vontade do padre responsável por elas	Ikatu bé abá omendá amoaé abaré robaké abaré ogûerekoara remimotara rupi
Ambas as minhas coxas tremem, endurecendo	Opá xe uba îesyî, oîemoatãmo
Eu tenho lágrimas gotejantes	Xe resa'y-tykyr
A felicidade no céu	Ybakype toryba
Eia tu, avante!	Nde katunhẽ
Os cabos são achatados	Yba i peb
Bem à sua semelhança o fez?	Gûupi-katupe i monhangi?
Finjo que não o quero	N'aîpotare'ym-a'ubi
Indo para fora, deixando de ouvir missa	Kûepe osóbo, missa renduba reîá
o que está tingido de jenipapo	i îanypapyxunyba'e
começando a pronunciá-lo	sa'ang-ypŷabo
Estão queimando, conservando suas vidas	Okaî oúpa o ekobé rerekóbo
Vela por nós	Ema'ẽngatu oré ri
Eis que sofrem muito os que Deus repeliu	Sasyeté niã Tupã remipe'apûera
Todos havemos de convidar	Pabẽ t'îaîxo'o
Ensinando tu a ti mesmo	Eîembo'ebo
Eu espirro	Xe atîam
Não me chames pelo nome diante dele, senão me mata!	Xe renõî umẽ îepé i xupé, na xe îukáî!
Dou-lhe pancadas na cabeça	Aî'apurupã
Saiu-me de través (pex, a flecha que me atingiu)	Xe raîé i xemi
Esbofeteei suas mãos (isto é, bati-lhe com palmatória)	Aîpó-petek
Não porque não me ama	Na xe raûsube'ỹmbeî
Hei de ir junto de ti, hoje, para comer aqueles reis	T'asó nde pyri, kori, aîpó tubixaba gûabo
Querendo furar os buracos das orelhas da gente	Asé apysakûá-puka potá
"Três chefes chamados ""reis"" que vêm da direção do Oriente"	"Mosapyr morubixaba ""reis"" 'îaba kûarasysembaba koty suí ouryba'e"
Eis aqui meu arco, eis aqui as farpas	Kobé xe îurupara, kobé arupare'aka
ouvir o sermão do padre	abaré nhe'ẽnhe'enga renduba
Eu sou Guaixará bebedor de cauim, comedor de gente	Gûaîxará kagûara ixé, morûara
Enfeixei-os	Anhoman
Portanto, eu vim	Emonãnamo, xe ruri
enquanto eu o faço	ixé i monhanga pukuî
Assim havemos de nos acariciar?	Nã takó îomomoranga re'a?
Eu estou com dúvida	Xe akasang
Sou um novato	Aîkó pysasuramo
Após acabar o mundo, fá-los-á voltar a viver	Ara pab'iré, i moingobeîebyri-ne
Eu tenho presas, eu faço presas, eu apreso	Xe rembiar
Hei de ir tocar tuas pálpebras	T'asóne nde ropé syka
Trazei também o tacape!	Ingapema bé peru!
Fi-lo emagrecer	Aîmoangaîbar
Por causa disso, com efeito, agora o amo	Aîpó resé nhẽ, ko'y asaûsu
Veio também sua panela para que os cozinhe adiante de mim	Oú bé senha'ẽpepó, t'omoîy xe renondé
Antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado	Akûeîme, gûimanõmo, anhanga, esapy'a, xe 'anga oîuká angaîpaba irũmomo
Como modo de fazer voltar em si a virtude	Tekokatu reroîebysabamo
Tocaste nas tuas pudendas, abrindo-lhes a pele?	Erepokokype nde rapopé resé i pipekábo?
Eu sou fibroso	Xe raîy-raîyk
coisa rapada	mba'e-apina
Acreditas em falsas oferendas?	Ererobîápe îetanonga'uba?
Ah, que dizes!?	Teté marã e'îabo mã!?
Nesse dia proferem as ladainhas ao longo da procissão	Ebokûé 'ara pupé gûá osa'ang ladainhas îebyîebysaba rupi
Contendo a Deus, está cheio teu ventre	Tupana rerupa, i por nde rygé
meu pensamento	xe 'anga
Deixa que venha	T'oúne turi
Eu sou ligeiro de mãos	Xe poesãî
Assim agiu, na verdade, longe de ti	Emonã rakó sekóû nde suí
Aquentam-me	Xe pé
Vou como preparador	Asó morenotaramo
Ao lado uns dos outros seus cadáveres estavam ao longo do mar	O îoybyri se'õmbûera paranã ybyri i kûáî
Que deram à sua mão direita?	Mba'epe oîme'eng i 'ekatuápe?
Separemos os que assim procederam	Emonã tekoarûera îaîpe'a
Envergonha-se o sol de nascer, diante de teu brilho	Otĩ kûarasy osema, nde beraba robaké
coisa cotidiana, o que é de cada dia	ko'arapukuîndûara
Esta agia assim, longe de ti	Emonã rakó sekóû nde suí
Havemos de anunciar futuramente sua partida	T'îaîmombe'u é irã i îepaboka
Mostra o erro de minhas palavras	Eîkuabe'eng xe nhe'engaipaba
Tu, em teus braços, Jesus ergueste para alimentá-lo um pouco em teu seio	Endé, nde îybápe, Îesu eresupi i poîa-mirĩ nde kama pupé
Tive filhos gêmeos	Xe membykõî
Transgride também alguém a palavra de Deus não mandando comungar a seu filho que é comungante antigo?	Oîaby bépe abá Tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?
Dou de beber às pessoas	Apore'ym
Flechei todos eles, capturando-os, amarrando-os	Aîybõ mbá, i pysyka, i apytĩamo
Mais que a roupa batida é a brancura de sua alma	Akó aoba i putukapyra sosé o 'anga tinga
Eu tenho palavras pesadas (isto é, sérias, com pesadas reflexões)	Xe nhe'ẽposyî
Cumpri minha palavra	Aîmopor xe nhe'enga
reflexo ou resplendor do mar	paranãendy
o que eu ensinei	xe remimbo'epûera
O bondoso São Lourenço guarda vossa terra, elevando-vos	São Lourenço-angaturama osarõ nhẽ pe retama, pe mopu'ama
o que tem fama, o que é famoso	serapûanyba'e
Mesmo o que assassina na guerra (transgride o mandamento de Deus)?	Gûariniãme oporapitiba'e tiruãpe?
É penoso, de fato, remar canoa	Sasy nakó ygá-pukuîa
Todos os que estão nesta aldeia conta como seus filhos	Opá kó taba pupîara o membyramo i papari
Tornando possíveis coisas que são difíceis	Mba'e i abaiba'e moabaibe'yma
Acreditas nos feitiços do pajé?	Ererobîarype paîé îekaraimonhanga?
por dois meses [lit, duas luas]	mokõî îasy
Contigo sempre estou	Nde resé memẽ oroîkó
Apisoei-o	Aîapatuká
Sus! Avante!	Pe'ĩ tîá!
Eu sou pequeno	Xe risi'ĩ
Não existem mais as suas antigas terras Todas, desde então, não contêm muita coisa	N'i tybangáî setãmbûera Opá akûeîme n'i poretáî
baliza do caminho	pé kugûapaba
Tendo alegria após sua morte	O manõ riré toryba rerekóbo
Vomitaste cauim quando te encheu?	Ereîmoîebyrype kaûĩ nde poesemõneme?
Vem, coisa fedorenta, coisa nojenta, tamarutaca!	Eîori, mba'enem, mba'e-poxy, tamarutaka!
Traze água para mim	Erur 'y ixébe
Trazei alguns assentos	Peru apykaba amõ
Trouxe a coragem	Myatã ogûeru
"Vêm em vão para me afastar os ditos ""padres"""	"Oú tenhẽ xe pe'abo ""abaré"" 'îaba"
Quebrei-me	Aîeká
Como que fazendo as pessoas viverem, mas não de verdade	Oporomoingobébo rame'ĩ, na supi ruã-te
Eu tenho sorte com animais (isto é, eu caço ou pesco muito)	Xe mba'e-porang
Arrependendo-se ele de ter batido em ti	Nde resé i pûaragûera moasŷabo
Sofreu, suportando o fogo	Sosang, tatá porarábo
Como será que um habitante do inferno viveria neste mundo se Deus o fizesse viver fora dali um mês?	Marãete'ĩ ra'umope amõ Anhanga ratá pora rekóû ikó 'ara pupé oîepé îasy Tupã ebanoĩ suí o moingobérememo?
algum tanto, um pouquinho	angaîbĩ'ĩ nhote
Fazendo o doente ter esperança	Mba'easybora moîerobîaruká
Portanto, esses são os mandamentos do Senhor Deus a nós	Irõ ianga Pa'i Tupã îandé rekomonhangaba
Procedendo de que forma o homem o transgride?	Marã oîkóbo bépe abá i abyû?
Louvo-te muito por tu me teres salvado	Oromoeté-katu nde xe pysyrõagûera resé
Tapei-o	Asesaatyká
Que vá Guaixará para o fogo	Gûaîxará t'osó tatápe
Escondendo ser sua parente verdadeira a que ele perverteu	O emimomoxypûera o mũetéramo sekó kuakupa
Estou-me recolhendo	Anhenong gûitupa
Que sejamos dignos do que Cristo prometeu	T'oré angaturãne Cristo remienõîûera resé
São muitos os não conhecidos que Deus somente, o criador deles, conhece	Se'yî i kuabypyre'yma Tupã i monhangara remingûaba nhõ
Ralando-o	Seébo
Estamos em intercalação	Oîoparabamo orokûab
Vou buscar água (à fonte)	A'ypîasó
Em que ocasiões a gente se confessará?	Mba'e-mba'eremepe asé nhemombe'une?
Que estejam os chefes e os moçacaras junto a mim	Morubixá, mosakara, t'e'i ixébo!
Descansa Não é muito forte o maíra	Nde pytuẽ Na satãngatuî maíra!
Assei-me	Aîyb
Deus fez vir um anjo no sonho de São José para o avisar	Tupã karaibebé mbouri São José mosaûsuba pupé i momorandupa
Eis que a noite toda ele não dormiu para ficar perturbando os índios!	Pysaré kó i kere'ymi, apŷaba pobu-pobu!
Vieram para consolá-lo	Our i moapysyka
Verto o sangue dele	Asugûy-mo'ẽ
toda a noite, pelas noites	putunybo
Ela é fininha e comprida	Ta'yrĩ'i-muku
Não serei pecador doravante	Na xe rekopoxyî xûé angiréne
Aceitei dinheiro de Pedro	Aîar itaîuba Pedro suí
Nosso espião vá primeiro, à frente de nós	Îandé manhana ranhẽ t'osó îandé renondé
Façamo-lo cair conosco no fogo para fazê-lo queimar conosco	Îaro'a tatá pupé serokaîa
Ergueu-se com as feridas de suas mãos, de seus pés, de seu flanco?	O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?
Por que põe sal bento na boca da gente?	Mba'e resépe îuky-karaíba mondebi asé îurupe?
Queres sair em vão de debaixo de nossas mãos	Eresẽ-potá tenhẽ oré pó gûyra suí
o que não é conhecido, coisa secreta	i kuabypyre'yma
Dou passos largos, dou grandes passos	Xe rapupa'ũusu
É verdade isso!	Anhẽ ûĩ!
a união à nossa carne	îandé ro'o resé îese'aragûera
Que alegremos a Maria	Maria t'îambory
Sua mãe o pôs no lugar onde estava a manjedoura deles	Semi'uru rupápe i xy i nongi
Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio	Ybyrá karamemûã, ygarusu nungara pupé i mo'aruká
Como modo de honrar sua vinda, este dia honramos	Turagûera moetesabamo kó 'ara îamoeté
Estou sendo muito miserável	Xe poreaûsukatu gûitekóbo
Eu hei de vingar-te	Ixé t'oroepyk
Eu sou garrido	Xe arũaíb
Pranteando o que o visita	O supara rapirõmo
Amarrei-o pelos pés	Aîpukusãmoín
trucidador	morapitîara
Amando muito sua santificação	O karaibagûama raûsukatûabo
Morro com virtude	Aromanõ tekokatu
Não quis em nós o assalto de nosso inimigo	N'oîpotari îandé ri îandé sumarã pu'ama
Eu somente nesta aldeia morava	Xe anhõ kó taba pupé aîkó
Ele está boquiaberto	I îurupukĩ ahẽ oîkóbo
Mandaste tua esposa ir em busca de mulheres?	Ereîopûaîpe nde remirekó kunhã resé?
Curou-o, somente tocando sua orelha, imediatamente fazendo-a sarar, grudando-a	Oîposanong, i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá
alguns santos	amõ amõ santos
o forte, o bravo	tatã
Ora, experimenta-o	Esa'ang ra'u
Come ainda	Okaru bé
pintura dele	i kûatiara
Haveis de bem recobrar o fôlego após vos cansardes	Ta pe putuẽngatuté irã pe îemokane'õ ré
E, pois, como há isto de ser?	marã-te-p'iã-ne?
osso de tembetá	metara kanga
Jazo de lado	Oykébo aîub
um pouco mais para cá	kybõ-ngoty-pyryb
Filho verdadeiro de Deus é, de fato, esse homem	Tupã ra'yreté anhẽ ikó abá
Ferrei-o	Asapy
"cabeça ""enrugada"" (isto é, cabeça com cabelo PIXAIM, ou seja, de pessoa negra, carapinha)"	akangapixa'ĩ
As namoradas me amavam	Kunhã'yba xe raûsu
Fulano está muito atrás de mim (isto é, fica no meu encalço, a importunar-me)	Xe resé-katu ahẽ rekóû
Aqueles outros dois deverão ser tomados segundo a vontade das pessoas	Abá remimotara rupi tarypyrama é amoaé mokõî
O diabo te agasta	Anhanga nde moabaîté
armeiro, fazedor de armaduras	itaaoba monhangara
Lacei-lhe as pernas	Aîkupyîurar
Para uma grande escuridão é que iriam	Pytunusupe émo i xóûmo
Que afastemos o diabo agora e para sempre	Anhanga t'îaîpe'a ko'yr aûîeramanhẽ
Eia, hei de ir contigo!	Ne'ĩ t'asó nde irũmo!
Antigamente eu ficava sempre junto de ti, no alto do morro	Akûeîme apytá memẽ nde pyri, ybytyrapûápe
Enfeitaste-te, pintando-te, tendo desejos carnais?	Erenhemoatyrõpe eîegûaka nde poropotaramo?
Ah, excelente!	Té, aûîé-katutenhẽ!
Fazendo as pessoas terem ódio umas das outras por causa de alguém	Abá resé nhoamotare'yma rerekouká abá supé
vara	ybyrá'ĩ
Hei de ouvir em vão	T'asendu tenhẽ
Eu ronco muito	Xe kerambugûasu
Oxalá ela estivesse sem roupa!	Ikatupe nhẽ temõ mã!
Ele secou	Typab
Não entendo tua ida, não entendo que tu vás	N'aîmo'angi nde só
Cingi-me	Aîeku'apûar
Chamusquei o casco dela (isto é, da embarcação, para calafetá-la)	Aîapé-ereb
É difícil essa língua	I abaíb aîpó nhe'enga
Ordenei-o	Aîmoabaré
Já chega, certamente!	Aûîé ipó!
Feri-o	Aîkutuk
Jejuaste por causa da primeira menstruação de tua filha?	Ereîekuakupe nde raîyra nhemondy'ara resé?
Que amemos nosso pai	T'orosaûsu îandé ruba
Levo uma vida boa	Tekó-katu aîporará
Tendo medo dos judeus	Îudeus suí osykyîébo
No meio do caminho, meninos assaltaram-me	Pé ku'ape, kunumĩ pu'ama'ubi xe ri
pedra de afiar que gira, pedra de afiar de barbeiro	itaky-nhatimana
Não se separam na guerra	N'i xandoki marana ri
o resgate de minha alma	xe 'anga repymondykaba
Vivei verdadeiramente com a rainha Graça	Peîkó-eté Grácia rainha ndibé
Chegamos sucessivamente	Orosy-syk
Preparando-se para a futura ressurreição do senhor Jesus	Pa'i Îesus rekobeîebyragûama resé onhemosako'îabo
gozador, brincalhão, zombeteiro	nhemosaraîxûera
Desviei-o comigo	Aropîá
Quer ter relações sexuais com ela, como de costume	Oîkó-potá sesé îandu
Farei todos pecarem de novo	Aîmoangaîpá pá benhẽne
algumas poucas vezes, algumas vezes, somente	amõme é
Retiraram-no para o pátio, colocando uma cruz no ombro dele	Okarype senosemi, cruz nonga i ati'yba ri
Aguei-a	Aîamõ
-Não é que o maldito veio voando? -Portanto, não é, de modo nenhum, preguiçoso!	-Ké muru ruri obébo? -Irõ, n'i ate'ym-angáî!
Amo Pedro, assim como a seu filho	Asaûsub Pedro ta'yra resebé
Breei-o	Aîkytyk
em sua terra	setãme
Os que têm a beatitude são os que apaziguam as pessoas	Tekokatueté rerekoara oporomonhyrõba'e
Vou como teu substituto	Asó nde rekobîaramo
Dizem que fui?	Asó serãne ra'e?
Haveria de morrer certamente a criança de mim após eu querer comer caça	Omanõ îepémo pitanga xe suí ixé so'o 'useî tenhẽ roîrémo re'ĩ
Por isso mesmo é que constituiu os padres como seus apaziguadores	Nd'e'i te'e abaré moingóbo o monhyrõsaramo
Logo o viu	Koromõ sepîaki
Junto a ela, primeiramente, os padres foram, anunciando a Deus	I xupé, ranhẽ, abaré, Tupã mombegûabo, i xóû
Sofrerão algo estando ali?	Oîporarápe mba'e amõ a'epe oîkóbone?
Eu tenho cabelos muito arrepiados	Xe 'a-tyragûasu
marca de dentes, sinal de dentada	tãî-mbora
Tendo relações sexuais com mulheres diante de sua companheira	O apixara robaké kunhã resé oîkóbo
Estou em busca de caça	So'o resé aîkó
Mudaste, por acaso?	Ereîakasó-piang?
Nossa verdadeira inimiga é a morte	Îandé robaîareté te'õ
Agitamo-nos	Orondururuk
Não querendo conversar com ele	I mongetá-potare'yma
Desviei as águas	Aty-mombîá
mentira)	temo'ema
Enfim, os moços escondem seus muito maus procedimentos	Aûîé kunumĩgûasu o ekó-aíbeté oîomim
Sus! Ide!	Pene'ĩ pesóbo
Deitando às pressas o capim	Kapi'i anhẽ rerupa
Eu tenho a mão parcialmente descoberta	Xe robá-seb - Eu tenho o rosto parcialmente descoberto Xe pó-seb
Meus antigos e grandes pecados farei sair	Xe angaîpá-tubixagûera amosẽne
maço de flechas	u'u-mana
Quantas vezes a lua desapareceu ou o caju madurou?	Mbobype îasy kanhemi koîpó akaîu 'aîubamo?
Que não esteja o maldito perto de mim	T'oîkó umẽ moxy xe ypybo
Seu sangue era muito, oprimindo sua alma	Sugûy turusu, i 'anga apypyka
Trago-o no meu colo	Xe ambyî arekó
var de chapéu	akangaó-îepepira
Vem, espantando o diabo, para não nos vencer	Îori, anhanga mondyîa, oré moaûîé suí!
Que habitante do mundo há como tu?	Abápe 'ara pora oîkó nde îabé?
Contaste para as pessoas o mau procedimento de alguém, que somente tu viste?	Ereîmombe'upe abá rekopoxŷagûera oîepebẽ nde remiepîakûera abá supé?
Oh! Que multidão estes peixes são! (ou Quanto peixe é este!)	Tó te'ĩ kó pirá rekóû mã!
a satisfação dos cônjuges	mendara moîekosupaba
companheiro dele	i irũ → irũ
Eu sou leproso	Xe piraíb
Nós somos gêmeos	Oré kõî
haste sem os grãos	ygûera
Abundava o amor de Deus em teu coração outrora	Tynysẽ Tupã raûsuba nde nhy'ãme erimba'e
